Indice;Data_Hora;T1_C;T2_C;Bateria_V;Rede;Porta;Alarme;Compressor;Status
1355;2026-02-01 17:48:00;5.7;4.2;13.3;1;0;0;1;00
1356;2026-02-01 18:00:33;6.0;4.5;13.3;1;0;0;1;00
1357;2026-02-01 18:12:25;6.4;4.9;13.3;1;0;0;1;00
1358;2026-02-01 18:24:32;6.9;5.0;13.6;1;0;0;1;00
1359;2026-02-01 18:36:32;7.3;5.6;13.3;1;0;0;1;00
1360;2026-02-01 18:48:33;8.0;6.1;13.3;1;0;0;1;00
1361;2026-02-01 19:00:33;8.5;6.7;13.3;1;0;0;1;00
1362;2026-02-01 19:12:32;9.1;7.3;13.3;1;0;0;1;00
1363;2026-02-01 19:24:21;9.8;7.8;13.4;1;0;1;1;00
1364;2026-02-01 19:37:33;10.5;8.4;13.4;1;0;1;1;00
1365;2026-02-01 19:49:33;11.2;9.1;13.4;1;0;1;1;00
1366;2026-02-01 20:01:43;12.1;10.0;13.4;1;0;1;1;00
1367;2026-02-01 20:13:32;13.0;10.7;13.4;1;0;1;1;00
1368;2026-02-01 20:25:33;13.9;11.6;13.3;1;0;1;1;00
1369;2026-02-01 20:37:58;14.8;12.5;13.3;1;0;1;1;00
1370;2026-02-01 20:49:00;15.6;13.4;13.3;1;0;1;1;00
1371;2026-02-01 21:02:32;16.4;14.2;13.4;1;0;1;1;00
1372;2026-02-01 21:14:33;17.1;15.0;14.7;1;0;1;1;00
1373;2026-02-01 21:26:01;17.9;15.8;13.4;1;0;1;1;00
1374;2026-02-01 21:38:32;18.6;16.6;13.3;1;0;1;1;00
1375;2026-02-01 21:50:32;19.3;17.3;13.3;1;0;1;1;00
1376;2026-02-01 22:02:33;20.0;17.9;13.6;1;0;1;1;00
1377;2026-02-01 22:14:33;20.6;18.6;13.3;1;0;1;1;00
1378;2026-02-01 22:27:32;21.1;19.2;13.4;1;0;1;1;00
1379;2026-02-01 22:39:32;21.6;19.6;14.5;1;0;1;1;00
1380;2026-02-01 22:51:32;22.2;20.3;13.4;1;0;1;1;00
1381;2026-02-01 23:03:32;22.7;20.7;13.3;1;0;1;1;00
1382;2026-02-01 23:15:32;23.1;21.2;13.3;1;0;1;1;00
1383;2026-02-01 23:27:33;23.5;21.7;13.4;1;0;1;1;00
1384;2026-02-01 23:39:32;23.9;22.1;13.3;1;0;1;1;00
1385;2026-02-01 23:52:33;24.2;22.5;13.4;1;0;1;1;00
1386;2026-02-02 00:04:32;24.5;22.8;13.4;1;0;1;1;00
1387;2026-02-02 00:16:33;24.8;23.2;13.3;1;0;1;1;00
1388;2026-02-02 00:28:33;25.2;23.5;13.5;1;0;1;1;00
1389;2026-02-02 00:40:36;25.4;23.7;13.3;1;0;1;1;00
1390;2026-02-02 00:52:33;25.6;24.1;13.3;1;0;1;1;00
1391;2026-02-02 01:04:33;25.9;24.4;13.4;1;0;1;1;00
1392;2026-02-02 01:16:33;26.1;24.6;13.4;1;0;1;1;00
1393;2026-02-02 01:29:22;26.3;24.8;13.3;1;0;1;1;00
1394;2026-02-02 01:41:33;26.6;25.0;13.4;1;0;1;1;00
1395;2026-02-02 01:53:32;26.6;25.1;13.3;1;0;1;1;00
1396;2026-02-02 02:05:33;26.9;25.4;13.4;1;0;1;1;00
1397;2026-02-02 02:17:32;27.1;25.6;13.3;1;0;1;1;00
1398;2026-02-02 02:29:32;27.2;25.8;13.3;1;0;1;1;00
1399;2026-02-02 02:41:32;27.5;26.0;13.3;1;0;1;1;00
1400;2026-02-02 02:54:02;27.5;26.1;13.4;1;0;1;1;00
1401;2026-02-02 03:06:00;27.7;26.2;13.3;1;0;1;1;00
1402;2026-02-02 03:18:45;27.9;26.4;13.3;1;0;1;1;00
1403;2026-02-02 03:30:32;28.0;26.5;13.3;1;0;1;1;00
1404;2026-02-02 03:42:33;28.2;26.8;13.3;1;0;1;1;00
1405;2026-02-02 03:54:33;28.2;26.8;14.7;1;0;1;1;00
1406;2026-02-02 04:06:12;28.3;26.9;13.3;1;0;1;1;00
1407;2026-02-02 04:18:33;28.4;27.0;13.3;1;0;1;1;00
1408;2026-02-02 04:31:32;28.4;27.0;13.3;1;0;1;1;00
1409;2026-02-02 04:43:33;28.5;27.2;13.3;1;0;1;1;00
1410;2026-02-02 04:55:32;28.6;27.3;13.4;1;0;1;1;00
1411;2026-02-02 05:07:01;28.7;27.5;13.3;1;0;1;1;00
1412;2026-02-02 05:19:32;28.7;27.4;13.3;1;0;1;1;00
1413;2026-02-02 05:31:32;28.8;27.5;13.4;1;0;1;1;00
1414;2026-02-02 05:44:32;28.9;27.5;13.3;1;0;1;1;00
1415;2026-02-02 05:56:30;28.9;27.6;13.3;1;0;1;1;00
1416;2026-02-02 06:08:33;28.9;27.7;13.3;1;0;1;1;00
1417;2026-02-02 06:20:33;29.1;27.6;13.3;1;0;1;1;00
1418;2026-02-02 06:32:33;29.1;27.8;14.2;1;0;1;1;00
1419;2026-02-02 06:44:11;29.2;27.8;13.4;1;0;1;1;00
1420;2026-02-02 06:56:01;29.1;27.8;13.4;1;0;1;1;00
1421;2026-02-02 07:08:05;29.1;27.9;14.6;1;0;1;1;00
1422;2026-02-02 07:21:13;29.2;27.9;13.4;1;0;1;1;00
1423;2026-02-02 07:28:33;29.2;27.9;13.4;1;1;1;1;00
1424;2026-02-02 07:28:32;29.1;28.0;13.3;1;0;1;1;00
1425;2026-02-02 07:40:52;28.9;27.9;13.3;1;0;1;1;00
1426;2026-02-02 07:52:32;29.0;27.7;13.4;1;0;1;1;00
1427;2026-02-02 08:05:32;28.9;27.8;13.3;1;0;1;1;00
1428;2026-02-02 08:12:33;28.9;27.7;13.3;1;1;1;1;00
1429;2026-02-02 08:12:32;28.9;27.7;13.2;0;0;1;1;00
1430;2026-02-02 08:13:32;28.8;27.7;13.0;1;0;0;1;00
1431;2026-02-02 08:14:33;28.9;27.7;13.4;1;1;0;1;00
1432;2026-02-02 08:15:33;28.9;27.7;13.4;1;0;0;1;00
1433;2026-02-02 08:25:33;28.7;27.6;13.4;1;1;1;1;00
1434;2026-02-02 08:25:33;28.7;27.6;13.3;1;0;1;1;00
1435;2026-02-02 08:30:33;28.7;27.6;13.3;1;1;1;1;00
1436;2026-02-02 08:30:02;28.7;27.5;13.3;1;0;1;1;00
1437;2026-02-02 08:40:00;28.7;27.5;13.4;1;1;1;1;00
1438;2026-02-02 08:40:01;28.5;27.5;13.3;1;0;1;1;00
1439;2026-02-02 08:46:32;28.5;27.5;13.4;1;1;1;1;00
1440;2026-02-02 08:47:33;28.5;27.4;13.3;1;0;1;1;00
1441;2026-02-02 08:51:32;28.4;27.4;13.4;1;1;1;1;00
1442;2026-02-02 08:52:33;28.3;27.3;13.3;1;0;1;1;00
1443;2026-02-02 08:58:28;28.2;27.3;14.0;1;1;1;1;00
1444;2026-02-02 08:58:32;28.2;27.2;13.8;0;0;1;1;00
1445;2026-02-02 09:00:32;28.2;27.3;13.4;1;1;1;1;00
1446;2026-02-02 09:00:23;28.3;27.3;13.4;1;0;1;1;00
1447;2026-02-02 09:12:00;28.2;27.1;13.3;1;0;1;1;00
1448;2026-02-02 09:25:00;28.3;27.1;13.3;1;0;1;1;00
1449;2026-02-02 09:37:32;28.5;27.1;13.3;1;0;1;1;00
1450;2026-02-02 09:49:62;28.6;27.2;13.4;1;0;1;1;00
1451;2026-02-02 10:01:32;28.6;27.3;13.3;1;0;1;1;00
1452;2026-02-02 10:16:33;28.8;27.4;13.3;1;0;1;1;00
1453;2026-02-02 10:29:32;28.8;27.4;13.3;1;0;1;1;00
