Indice;Data_Hora;T1_C;T2_C;Bateria_V;Rede;Porta;Alarme;Compressor;Status
620;2026-01-27 10:35:04;5.7;4.3;13.4;1;0;0;0;00
621;2026-01-27 10:47:00;6.0;4.3;13.3;1;0;0;1;00
622;2026-01-27 10:59:32;5.8;4.5;13.3;1;0;0;1;00
623;2026-01-27 10:59:32;5.6;4.5;13.3;1;1;0;1;00
624;2026-01-27 10:59:33;5.6;4.4;14.7;1;0;0;1;00
625;2026-01-27 11:11:33;5.7;4.5;13.5;1;0;0;1;00
626;2026-01-27 11:23:48;5.2;4.5;13.8;1;0;0;1;00
627;2026-01-27 11:35:00;4.9;4.4;13.4;1;0;0;0;00
628;2026-01-27 11:38:33;4.8;4.4;13.4;1;1;0;0;00
629;2026-01-27 11:38:01;4.8;4.3;13.3;1;0;0;0;00
630;2026-01-27 11:38:33;5.2;4.2;13.3;1;1;0;0;00
631;2026-01-27 11:38:42;5.2;4.3;13.4;1;0;0;0;00
632;2026-01-27 11:42:33;5.1;4.5;13.3;1;1;0;1;00
633;2026-01-27 11:43:32;5.3;4.4;13.4;1;0;0;1;00
634;2026-01-27 11:44:32;5.8;4.3;13.3;1;1;0;1;00
635;2026-01-27 11:44:33;5.7;4.4;14.3;1;0;0;1;00
636;2026-01-27 11:56:61;5.8;4.3;13.3;1;0;0;1;00
637;2026-01-27 12:08:32;5.4;4.3;14.0;1;0;0;1;00
638;2026-01-27 12:20:32;5.2;4.3;13.3;1;0;0;1;00
639;2026-01-27 12:32:18;4.8;4.4;13.3;1;0;0;0;00
640;2026-01-27 12:44:01;4.7;4.3;13.3;1;0;0;0;00
641;2026-01-27 12:56:30;4.7;4.3;13.4;1;0;0;0;00
642;2026-01-27 13:08:00;5.0;4.2;13.4;1;0;0;0;00
643;2026-01-27 13:20:33;5.2;4.2;13.3;1;0;0;0;00
644;2026-01-27 13:27:36;4.8;4.4;13.4;1;1;0;0;00
645;2026-01-27 13:28:33;5.0;4.4;13.4;1;0;0;0;00
646;2026-01-27 13:30:00;6.0;4.4;13.4;1;1;0;0;00
647;2026-01-27 13:30:00;6.0;4.4;13.4;1;0;0;0;00
648;2026-01-27 13:42:33;5.7;4.2;13.3;1;0;0;0;00
649;2026-01-27 13:54:33;5.5;4.2;13.3;1;0;0;0;00
650;2026-01-27 14:06:32;5.4;4.3;13.4;1;0;0;0;00
651;2026-01-27 14:18:32;5.3;4.1;13.3;1;0;0;0;00
652;2026-01-27 14:30:33;5.0;4.2;13.3;1;0;0;0;00
653;2026-01-27 14:43:18;4.9;4.2;13.4;1;0;0;0;00
654;2026-01-27 14:55:32;4.9;4.2;13.3;1;0;0;0;00
655;2026-01-27 15:07:00;4.7;4.2;13.4;1;0;0;0;00
656;2026-01-27 15:19:25;4.7;4.3;13.4;1;0;0;0;00
657;2026-01-27 15:31:33;4.7;4.3;13.3;1;0;0;0;00
658;2026-01-27 15:43:26;4.7;4.3;13.3;1;0;0;0;00
659;2026-01-27 15:55:32;4.7;4.2;13.3;1;0;0;0;00
660;2026-01-27 16:07:33;4.7;4.4;13.3;1;0;0;0;00
661;2026-01-27 16:19:33;4.8;4.4;13.6;1;0;0;0;00
662;2026-01-27 16:31:32;4.8;4.4;13.3;1;0;0;0;00
663;2026-01-27 16:43:30;5.0;4.3;13.3;1;0;0;1;00
664;2026-01-27 16:55:03;5.4;4.4;14.0;1;0;0;1;00
665;2026-01-27 16:59:32;4.8;4.2;13.3;1;1;0;0;00
666;2026-01-27 16:59:32;4.8;4.2;13.3;1;0;0;0;00
667;2026-01-27 17:11:33;5.3;4.3;13.3;1;0;0;0;00
668;2026-01-27 17:23:32;5.1;4.2;13.4;1;0;0;0;00
669;2026-01-27 17:35:32;5.1;4.2;13.3;1;0;0;0;00
670;2026-01-27 17:47:33;5.0;4.2;13.4;1;0;0;0;00
671;2026-01-27 17:59:33;5.1;4.3;13.3;1;0;0;0;00
672;2026-01-27 18:11:32;5.1;4.3;13.3;1;0;0;0;00
673;2026-01-27 18:23:32;5.0;4.2;13.3;1;0;0;0;00
674;2026-01-27 18:35:33;5.0;4.3;13.3;1;0;0;0;00
675;2026-01-27 18:47:45;5.1;4.3;13.4;1;0;0;0;00
676;2026-01-27 18:59:32;5.1;4.2;13.3;1;0;0;0;00
677;2026-01-27 19:11:32;5.0;4.1;13.4;1;0;0;0;00
678;2026-01-27 19:24:42;5.0;4.2;13.3;1;0;0;0;00
679;2026-01-27 19:36:01;4.9;4.3;13.4;1;0;0;0;00
680;2026-01-27 19:48:32;5.0;4.2;13.3;1;0;0;0;00
681;2026-01-27 20:00:32;5.0;4.3;13.3;1;0;0;0;00
682;2026-01-27 20:12:33;4.8;4.3;13.3;1;0;0;0;00
683;2026-01-27 20:24:00;4.8;4.2;13.3;1;0;0;0;00
684;2026-01-27 20:36:33;4.8;4.3;13.4;1;0;0;0;00
685;2026-01-27 20:48:30;4.6;4.3;13.4;1;0;0;0;00
686;2026-01-27 21:00:33;4.6;4.2;13.3;1;0;0;0;00
687;2026-01-27 21:12:33;4.7;4.3;13.3;1;0;0;0;00
688;2026-01-27 21:24:32;4.7;4.2;13.4;1;0;0;0;00
689;2026-01-27 21:36:33;4.6;4.3;13.3;1;0;0;0;00
690;2026-01-27 21:48:32;4.8;4.3;13.4;1;0;0;0;00
691;2026-01-27 22:00:00;4.6;4.3;13.3;1;0;0;0;00
692;2026-01-27 22:13:33;4.8;4.3;13.3;1;0;0;0;00
693;2026-01-27 22:25:33;4.8;4.4;13.3;1;0;0;0;00
694;2026-01-27 22:37:32;5.1;4.3;14.0;1;0;0;1;00
695;2026-01-27 22:49:32;5.3;4.3;13.3;1;0;0;1;00
696;2026-01-27 23:01:33;5.5;4.2;13.3;1;0;0;1;00
697;2026-01-27 23:13:33;5.5;4.3;13.5;1;0;0;1;00
698;2026-01-27 23:25:32;5.5;4.4;13.8;1;0;0;1;00
699;2026-01-27 23:37:32;5.5;4.3;13.3;1;0;0;1;00
700;2026-01-27 23:49:33;5.7;4.4;13.3;1;0;0;1;00
701;2026-01-28 00:01:33;5.7;4.3;13.3;1;0;0;1;00
702;2026-01-28 00:13:32;5.9;4.2;13.6;1;0;0;1;00
703;2026-01-28 00:25:25;6.0;4.3;13.8;1;0;0;1;00
704;2026-01-28 00:37:33;6.0;4.3;14.1;1;0;0;1;00
705;2026-01-28 00:49:33;6.0;4.3;13.3;1;0;0;1;00
706;2026-01-28 01:01:32;6.2;4.3;13.3;1;0;0;1;00
707;2026-01-28 01:14:32;6.1;4.3;14.0;1;0;0;1;00
708;2026-01-28 01:26:33;5.8;4.2;13.3;1;0;0;0;00
709;2026-01-28 01:38:33;5.8;4.3;13.3;1;0;0;0;00
710;2026-01-28 01:50:32;5.7;4.1;13.4;1;0;0;0;00
711;2026-01-28 02:02:32;5.8;4.2;13.3;1;0;0;0;00
712;2026-01-28 02:14:18;5.5;4.2;13.3;1;0;0;0;00
713;2026-01-28 02:26:33;5.4;4.1;13.3;1;0;0;0;00
714;2026-01-28 02:38:00;5.3;4.2;13.3;1;0;0;0;00
715;2026-01-28 02:50:25;5.2;4.2;13.3;1;0;0;0;00
716;2026-01-28 03:02:33;5.1;4.1;13.3;1;0;0;0;00
717;2026-01-28 03:14:33;5.1;4.2;13.3;1;0;0;0;00
718;2026-01-28 03:26:32;4.9;4.1;13.3;1;0;0;0;00
719;2026-01-28 03:38:32;5.0;4.1;13.4;1;0;0;0;00
720;2026-01-28 03:50:33;5.0;4.2;13.3;1;0;0;0;00
